Site,GPP_Pmodel_x,GPP_observed_x,GPP_Multilayer_overall_x,broadleaf,needleaf,c3_grass,c4_grass,shrubs,urban,lake,soil,ice,IGBP,Highest_PFT,PFT,
AR-SLu,128.13,2360.76,147.21,0.35,0.35,0.20,0.00,0.00,0.00,0.00,0.10,0.00,MF,broadleaf ,1.00,
AU-Cow,3011.63,1939.39,1736.12,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,ENF,broadleaf ,1.00,
AU-Ctr,3171.21,2819.05,1762.84,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,ENF,broadleaf ,1.00,
AU-Cum,1197.99,1143.46,1034.50,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,EBF,broadleaf ,1.00,
AU-Gin,636.08,1105.65,572.67,0.50,0.00,0.15,0.00,0.25,0.00,0.00,0.10,0.00,WSA,broadleaf ,1.00,
AU-How,1427.02,1920.37,1093.94,0.50,0.00,0.15,0.00,0.25,0.00,0.00,0.10,0.00,WSA,broadleaf ,1.00,
AU-Lit,1414.11,1520.92,1094.64,0.50,0.00,0.15,0.00,0.25,0.00,0.00,0.10,0.00,WSA,broadleaf ,1.00,
AU-Tum,2935.18,2637.97,1419.84,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,EBF,broadleaf ,1.00,
AU-Wrr,2082.83,1634.57,1237.77,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,EBF,broadleaf ,1.00,
BE-Bra,1380.25,1383.62,1101.99,0.35,0.35,0.20,0.00,0.00,0.00,0.00,0.10,0.00,MF,broadleaf ,1.00,
BE-Vie,1734.08,1701.47,1199.17,0.35,0.35,0.20,0.00,0.00,0.00,0.00,0.10,0.00,MF,broadleaf ,1.00,
BR-Sa3,2830.88,2929.12,2097.19,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,EBF,broadleaf ,1.00,
CN-Cha,905.10,1442.11,649.37,0.35,0.35,0.20,0.00,0.00,0.00,0.00,0.10,0.00,MF,broadleaf ,1.00,
CN-Din,2127.22,1446.58,1502.67,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,EBF,broadleaf ,1.00,
DE-Bay,1453.33,1257.32,1015.94,0.35,0.35,0.20,0.00,0.00,0.00,0.00,0.10,0.00,ENF,broadleaf ,1.00,
DE-Hai,1722.61,1585.36,1080.15,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
DK-Lva,83.72,1400.10,193.56,0.35,0.35,0.20,0.00,0.00,0.00,0.00,0.10,0.00,GRA,broadleaf ,1.00,
DK-Sor,1464.61,1913.41,987.14,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
FR-Fon,1436.33,1764.72,1073.65,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
FR-Hes,1582.99,1574.43,1149.37,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
GF-Guy,4203.26,3581.51,2575.54,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,EBF,broadleaf ,1.00,
ID-Pag,3375.45,3094.99,2091.24,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,EBF,broadleaf ,1.00,
IT-CA1,1025.31,1150.76,857.62,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
IT-CA3,992.86,1115.56,836.10,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
IT-Col,1943.99,1443.65,1045.61,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
IT-Cpz,2234.86,1903.47,1498.47,0.85,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,EBF,broadleaf ,1.00,
IT-Isp,1099.48,1999.73,977.36,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
IT-LMa,1433.03,1161.33,1129.79,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
IT-Mal,1010.55,1087.76,745.52,0.35,0.35,0.20,0.00,0.00,0.00,0.00,0.10,0.00,GRA,broadleaf ,1.00,
IT-Non,549.87,1240.40,764.66,0.35,0.35,0.20,0.00,0.00,0.00,0.00,0.10,0.00,DBF,broadleaf ,1.00,
IT-PT1,1177.59,1538.09,930.55,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
IT-Ro1,1732.86,1533.06,1302.90,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
IT-Ro2,1446.65,1437.65,1148.88,0.60,0.00,0.05,0.10,0.05,0.00,0.00,0.20,0.00,DBF,broadleaf ,1.00,
JP-SMF,1740.31,1539.11,1146.21,0.35,0.35,0.20,0.00,0.00,0.00,0.00,0.10,0.00,MF,broadleaf ,1.00,
